"row_names","Wk","Day","Date","Time","Home","Score","Away","Attendance","Venue","Referee","Match Report","Notes","Season"
"53",5,"Sun","2015-09-13","16:00","Leicester City","3_2","Aston Villa","31733","King Power Stadium","Mike Dean","Match Report",,15
"54",5,"Mon","2015-09-14","20:00","West Ham","2_0","Newcastle Utd","34907","Boleyn Ground","Anthony Taylor","Match Report",,15
"56",6,"Sat","2015-09-19","12:45","Chelsea","2_0","Arsenal","41584","Stamford Bridge","Mike Dean","Match Report",,15
"57",6,"Sat","2015-09-19","15:00","Newcastle Utd","1_2","Watford","47806","St. James' Park","Roger East","Match Report",,15
"58",6,"Sat","2015-09-19","15:00","Stoke City","2_2","Leicester City","27642","Bet365 Stadium","Andre Marriner","Match Report",,15
"59",6,"Sat","2015-09-19","15:00","Swansea City","0_0","Everton","20805","Liberty Stadium","Stuart Attwell","Match Report",,15
"60",6,"Sat","2015-09-19","15:00","Aston Villa","0_1","West Brom","36321","Villa Park","Martin Atkinson","Match Report",,15
"61",6,"Sat","2015-09-19","15:00","Bournemouth","2_0","Sunderland","11271","Vitality Stadium","Kevin Friend","Match Report",,15
"62",6,"Sat","2015-09-19","17:30","Manchester City","1_2","West Ham","53545","Etihad Stadium","Robert Madley","Match Report",,15
"63",6,"Sun","2015-09-20","13:30","Tottenham","1_0","Crystal Palace","35723","White Hart Lane","Michael Oliver","Match Report",,15
"64",6,"Sun","2015-09-20","16:00","Southampton","2_3","Manchester Utd","31588","St. Mary's Stadium","Mark Clattenburg","Match Report",,15
"65",6,"Sun","2015-09-20","16:00","Liverpool","1_1","Norwich City","44072","Anfield","Anthony Taylor","Match Report",,15
"67",7,"Sat","2015-09-26","12:45","Tottenham","4_1","Manchester City","35867","White Hart Lane","Mark Clattenburg","Match Report",,15
"68",7,"Sat","2015-09-26","15:00","Manchester Utd","3_0","Sunderland","75328","Old Trafford","Mike Jones","Match Report",,15
"69",7,"Sat","2015-09-26","15:00","Leicester City","2_5","Arsenal","32047","King Power Stadium","Craig Pawson","Match Report",,15
"70",7,"Sat","2015-09-26","15:00","West Ham","2_2","Norwich City","34857","Boleyn Ground","Mike Dean","Match Report",,15
"71",7,"Sat","2015-09-26","15:00","Liverpool","3_2","Aston Villa","44228","Anfield","Jonathan Moss","Match Report",,15
"72",7,"Sat","2015-09-26","15:00","Stoke City","2_1","Bournemouth","27742","Bet365 Stadium","Lee Mason","Match Report",,15
"73",7,"Sat","2015-09-26","15:00","Southampton","3_1","Swansea City","30704","St. Mary's Stadium","Roger East","Match Report",,15
"74",7,"Sat","2015-09-26","17:30","Newcastle Utd","2_2","Chelsea","48682","St. James' Park","Martin Atkinson","Match Report",,15
"75",7,"Sun","2015-09-27","16:00","Watford","0_1","Crystal Palace","20168","Vicarage Road Stadium","Anthony Taylor","Match Report",,15
"76",7,"Mon","2015-09-28","20:00","West Brom","2_3","Everton","24240","The Hawthorns","Robert Madley","Match Report",,15
